Clothing Type,Transformed URL
Health Monitors & Tests,https://www.daraz.com.np/health-monitors-tests/?ajax=true&page=iterator&sort=order
Clothing,https://www.daraz.com.np/mens-clothing/?ajax=true&page=iterator&sort=order
Casual Tops,https://www.daraz.com.np/mens-casual-tops/?ajax=true&page=iterator&sort=order
Polo Shirts,https://www.daraz.com.np/mens-polo-shirts/?ajax=true&page=iterator&sort=order
Shirts,https://www.daraz.com.np/mens-shirts/?ajax=true&page=iterator&sort=order
Jeans,https://www.daraz.com.np/mens-jeans/?ajax=true&page=iterator&sort=order
Pants,https://www.daraz.com.np/mens-pants-trousers/?ajax=true&page=iterator&sort=order
Suits,https://www.daraz.com.np/men-clothing-suits-ties/?ajax=true&page=iterator&sort=order
Jackets & Coats,https://www.daraz.com.np/men-jackets-coats/?ajax=true&page=iterator&sort=order
Hoodies & Sweatshirts,https://www.daraz.com.np/mens-hoodies/?ajax=true&page=iterator&sort=order
Sweaters & Cardigans,https://www.daraz.com.np/men-sweaters-cardigans/?ajax=true&page=iterator&sort=order
Men's Bags,https://www.daraz.com.np/mens-bags/?ajax=true&page=iterator&sort=order
Backpacks,https://www.daraz.com.np/men-bags-backpacks/?ajax=true&page=iterator&sort=order
Crossbody Bags,https://www.daraz.com.np/mens-formal-bags/?ajax=true&page=iterator&sort=order
Messenger Bags,https://www.daraz.com.np/men-messenger-bags/?ajax=true&page=iterator&sort=order
Business Bags,https://www.daraz.com.np/backpacks-and-briefcases/?ajax=true&page=iterator&sort=order
Wallets & Accessories,https://www.daraz.com.np/mens-wallets-cardholders/?ajax=true&page=iterator&sort=order
Shoes,https://www.daraz.com.np/mens-shoes/?ajax=true&page=iterator&sort=order
Slip-Ons & Loafers,https://www.daraz.com.np/mens-slip-ons/?ajax=true&page=iterator&sort=order
Flip Flops & Sandals,https://www.daraz.com.np/mens-sandals-slippers/?ajax=true&page=iterator&sort=order
Sneakers,https://www.daraz.com.np/mens-sneakers/?ajax=true&page=iterator&sort=order
Formal Shoes,https://www.daraz.com.np/mens-formal-shoes/?ajax=true&page=iterator&sort=order
Boots,https://www.daraz.com.np/mens-boots/?ajax=true&page=iterator&sort=order
Shoes Accessories,https://www.daraz.com.np/mens-shoe-care/?ajax=true&page=iterator&sort=order
Accessories,https://www.daraz.com.np/men-accessories/?ajax=true&page=iterator&sort=order
Scarves,https://www.daraz.com.np/mens-scarves-mufflers/?ajax=true&page=iterator&sort=order
Ties & Bow Ties,https://www.daraz.com.np/mens-ties-cufflinks/?ajax=true&page=iterator&sort=order
Socks,https://www.daraz.com.np/mens-socks/?ajax=true&page=iterator&sort=order
Belts,https://www.daraz.com.np/fashion-mens-belts/?ajax=true&page=iterator&sort=order
Hats & Caps,https://www.daraz.com.np/men-accessories-hats/?ajax=true&page=iterator&sort=order
Gloves,https://www.daraz.com.np/mens-gloves/?ajax=true&page=iterator&sort=order
Boy's Fashion,https://www.daraz.com.np/fashion-boys/?ajax=true&page=iterator&sort=order
Boy's Clothing,https://www.daraz.com.np/boys-clothing/?ajax=true&page=iterator&sort=order
Boy's Shoes,https://www.daraz.com.np/boys-shoes/?ajax=true&page=iterator&sort=order
Boy's Accessories,https://www.daraz.com.np/fashion-boys-accessories/?ajax=true&page=iterator&sort=order
Men's Underwear,https://www.daraz.com.np/clothing-men-underwear/?ajax=true&page=iterator&sort=order
Briefs,https://www.daraz.com.np/mens-briefs/?ajax=true&page=iterator&sort=order
Vests,https://www.daraz.com.np/mens-waistcoats/?ajax=true&page=iterator&sort=order
Trunks & Boxers,https://www.daraz.com.np/mens-boxers/?ajax=true&page=iterator&sort=order
Men's Watches,https://www.daraz.com.np/mens-watches/?ajax=true&page=iterator&sort=order
Business,https://www.daraz.com.np/mens-analog/?ajax=true&page=iterator&sort=order
Fashion,https://www.daraz.com.np/mens-chronograph/?ajax=true&page=iterator&sort=order
Women's Watches,https://www.daraz.com.np/womens-watches/?ajax=true&page=iterator&sort=order
Fashion,https://www.daraz.com.np/womens-fashion-watches-wsj/?ajax=true&page=iterator&sort=order
Business,https://www.daraz.com.np/womens-business-watches-wsj/?ajax=true&page=iterator&sort=order
Kid's Watches,https://www.daraz.com.np/kids-watches-wsj/?ajax=true&page=iterator&sort=order
Sunglasses,https://www.daraz.com.np/sunglasses/?ajax=true&page=iterator&sort=order
